order_id,quantity,item_name,choice_description (consider it as a text document),item_price,Imported
1,1,Chips and Fresh Tomato Salsa,NULL,$2.39 ,Yes
1,1,Izze,[Clementine],$3.39 ,Yes
1,1,Nantucket Nectar,[Apple],$3.39 ,Yes
1,1,Chips and Tomatillo-Green Chili Salsa,NULL,$2.39 ,Yes
2,2,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]",$16.98 ,Yes
3,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,Yes
3,1,Side of Chips,NULL,$1.69 ,Yes
4,1,Steak Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 ,Yes
4,1,Steak Soft Tacos,"[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]]",$9.25 ,Yes
5,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]",$9.25 ,Yes
5,1,Chips and Guacamole,NULL,$4.45 ,Yes
6,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,Yes
6,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,Yes
7,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]",$11.25 ,Yes
7,1,Chips and Guacamole,NULL,$4.45 ,Yes
8,1,Chips and Tomatillo-Green Chili Salsa,NULL,$2.39 ,Yes
8,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]]",$8.49 ,Yes
9,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 ,Yes
9,2,Canned Soda,[Sprite],$2.18 ,Yes
10,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]",$8.75 ,Yes
10,1,Chips and Guacamole,NULL,$4.45 ,Yes
11,1,Barbacoa Burrito,"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]",$8.99 ,Yes
11,1,Nantucket Nectar,[Pomegranate Cherry],$3.39 ,Yes
12,1,Chicken Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,Yes
12,1,Izze,[Grapefruit],$3.39 ,Yes
13,1,Chips and Fresh Tomato Salsa,NULL,$2.39 ,Yes
13,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.49 ,Yes
14,1,Carnitas Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Sour Cream, Lettuce]]",$8.99 ,Yes
14,1,Canned Soda,[Dr. Pepper],$1.09 ,Yes
15,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",$8.49 ,Yes
15,1,Chips and Tomatillo-Green Chili Salsa,NULL,$2.39 ,Yes
16,1,Steak Burrito,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Sour Cream]]",$8.99 ,Yes
16,1,Side of Chips,NULL,$1.69 ,Yes
17,1,Carnitas Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 ,Yes
17,1,Bottled Water,NULL,$1.09 ,Yes
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, Rice]",$8.75 ,Yes
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Cheese, Lettuce]]",$8.75 ,Yes
18,1,Chips and Guacamole,NULL,$4.45 ,Yes
18,1,Chips and Tomatillo Green Chili Salsa,NULL,$2.95 ,Yes
19,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 ,Yes
19,1,Chips,NULL,$2.15 ,Yes
20,1,Chips and Guacamole,NULL,$4.45 ,Yes
20,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,Yes
